area, url, browserDetection, cssprefixes, edge, jslibs, pluginfree
USA, http://twitch.tv, 1, 0, 1, 0, 1
USA, http://direct.gov.uk, 0, 1, 1, 1, 1
USA, http://sprint.com, 0, 1, 1, 1, 1
USA, http://aa.com, 1, 0, 1, 1, 1
USA, http://poczta.wp.pl, 0, 1, 0, 1, 1
USA, http://email.t-online.de, 1, 1, 1, 1, 1
USA, http://mercadolivre.com.br, 0, 1, 1, 1, 1
USA, http://mercadolibre.com.ar, 0, 1, 1, 1, 1
USA, http://bellemaison.jp, 1, 1, 1, 1, 1
USA, http://v.qq.com, 0, 1, 1, 1, 1
USA, http://asos.com, 0, 1, 0, 1, 1
USA, http://nikkansports.com, 1, 1, 1, 1, 1
USA, http://fanyi.baidu.com, 0, 1, 1, 1, 1
USA, http://trulia.com, 0, 1, 1, 1, 1
USA, http://jcpenney.com, 0, 1, 1, 1, 1
USA, http://mobile01.com, 0, 1, 1, 1, 1
USA, http://seek.com.au, 1, 1, 1, 1, 1
USA, http://suntory.co.jp, 0, 1, 1, 1, 0
USA, http://dreammail.jp, 1, 0, 1, 1, 1
USA, http://lego.com, 1, 1, 1, 1, 1
USA, http://ticketmonster.co.kr, 0, 0, 0, 1, 1
USA, http://marktplaats.nl, 1, 0, 1, 1, 1
USA, http://go.com, 0, 1, 1, 1, 1
USA, http://ero-video.net, 0, 1, 1, 1, 1
USA, http://letskorail.com, 0, 1, 1, 1, 1
USA, http://adultfriendfinder.com, 0, 1, 1, 1, 1
USA, http://mainichi.jp, 1, 1, 1, 1, 0
USA, http://ilbe.com, 1, 0, 0, 1, 1
USA, http://goo.ne.jp, 0, 1, 1, 1, 1
USA, http://wikia.com, 0, 1, 1, 1, 1
USA, http://pagesjaunes.fr, 0, 1, 1, 1, 1
USA, http://ecnavi.jp, 0, 0, 1, 1, 1
USA, http://hilton.com, 1, 1, 1, 1, 1
USA, http://funda.nl, 1, 1, 1, 1, 1
USA, http://forgeofempires.com, 1, 1, 1, 1, 1
USA, http://hotels.com, 0, 1, 1, 1, 1
USA, http://grepolis.com, 1, 1, 1, 1, 1
USA, http://tmall.com, 1, 1, 1, 1, 1
USA, http://bankofamerica.com, 1, 1, 0, 1, 1
USA, http://pointclickcare.com, 1, 0, 1, 1, 1
USA, http://myfitnesspal.com, 0, 1, 1, 1, 1
USA, http://beauty.hotpepper.jp, 1, 1, 1, 1, 1
